SECS,FLUOR,NORM_FLUOR,SOURCE
6.08E-06,621,0.000502694,INDUCTION-4188-20201116-10_53_39
1.01E-05,620,0,INDUCTION-4188-20201116-10_53_39
1.42E-05,649,0.014578139,INDUCTION-4188-20201116-10_53_39
1.80E-05,629,0.00452425,INDUCTION-4188-20201116-10_53_39
2.21E-05,674,0.0271455,INDUCTION-4188-20201116-10_53_39
2.61E-05,736,0.058312555,INDUCTION-4188-20201116-10_53_39
3.02E-05,687,0.033680528,INDUCTION-4188-20201116-10_53_39
3.42E-05,641,0.010556583,INDUCTION-4188-20201116-10_53_39
3.80E-05,724,0.052280222,INDUCTION-4188-20201116-10_53_39
4.21E-05,754,0.067361055,INDUCTION-4188-20201116-10_53_39
4.61E-05,728,0.054291,INDUCTION-4188-20201116-10_53_39
5.02E-05,782,0.0814365,INDUCTION-4188-20201116-10_53_39
5.40E-05,784,0.082441889,INDUCTION-4188-20201116-10_53_39
5.81E-05,826,0.103555055,INDUCTION-4188-20201116-10_53_39
6.21E-05,830,0.105565833,INDUCTION-4188-20201116-10_53_39
6.62E-05,952,0.166894555,INDUCTION-4188-20201116-10_53_39
7.02E-05,870,0.125673611,INDUCTION-4188-20201116-10_53_39
7.40E-05,885,0.133214027,INDUCTION-4188-20201116-10_53_39
7.81E-05,886,0.133716722,INDUCTION-4188-20201116-10_53_39
8.21E-05,948,0.164883777,INDUCTION-4188-20201116-10_53_39
8.62E-05,956,0.168905333,INDUCTION-4188-20201116-10_53_39
9.00E-05,1002,0.192029277,INDUCTION-4188-20201116-10_53_39
9.41E-05,987,0.18448886,INDUCTION-4188-20201116-10_53_39
9.81E-05,1094,0.238277166,INDUCTION-4188-20201116-10_53_39
0.000102162,1093,0.237774471,INDUCTION-4188-20201116-10_53_39
0.000106215,1062,0.222190943,INDUCTION-4188-20201116-10_53_39
0.00011003,1033,0.207612805,INDUCTION-4188-20201116-10_53_39
0.000114083,1136,0.259390332,INDUCTION-4188-20201116-10_53_39
0.000118136,1171,0.276984638,INDUCTION-4188-20201116-10_53_39
0.000122189,1133,0.257882249,INDUCTION-4188-20201116-10_53_39
0.000126004,1232,0.307648999,INDUCTION-4188-20201116-10_53_39
0.000130057,1234,0.308654388,INDUCTION-4188-20201116-10_53_39
0.00013411,1292,0.337810665,INDUCTION-4188-20201116-10_53_39
0.000138163,1236,0.309659776,INDUCTION-4188-20201116-10_53_39
0.000142216,1261,0.322227137,INDUCTION-4188-20201116-10_53_39
0.000146031,1264,0.323735221,INDUCTION-4188-20201116-10_53_39
0.000150084,1322,0.352891498,INDUCTION-4188-20201116-10_53_39
0.000154137,1191,0.287038527,INDUCTION-4188-20201116-10_53_39
0.00015819,1253,0.318205582,INDUCTION-4188-20201116-10_53_39
