obs,time,elapsed,date,hhmmss,averaging,plot,plant,leaf,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,¦ÁVc,Edyn,Hr,Hs,dHs/dt,¦ÁVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1639111566,0,20211210 12:46:06,12:46:06,2,plot-sdfgghhh1-1,1,ertyhghj,1639111566,0.003661256,3.661255615,17.2007635,400.017,283.3739468,29.13281317,41.12453052,0.262754746,3.268489263,0.251558579,0.158190286,317.4,25.79748232,25.8892,3.352198688,59.6885884,1.894094814,3.173294704,1.458103874,-161.4613726,-162.624941,-10.56987738,-17.25619102,17.35758494,3.474455065,17.2007635,416.3086195,407.5682424,2.78475E-06,91.1472967,3.661255615,16.71874487,18.51421273,-2.80787E-06,100.31,0,0,1,0,54606.34029,2000,1686,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639111566,400.017,409.384,18.4238,16.7198,399.476,18.3048,600.43,102.607,0.199957,24.9663,25.8892,999.9,0,0,9996.25,839.492,0.960577,2000,0.9,0.1,26.1667,43393.5,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.541,0.119,0.405621065,0.001183069,-2.42743E-06,7.98292E-10,-0.040335204,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,7.9,7.8,19,621.321,419.51,26.5612,21.7432,29.9999,21.6564,21.6328,20.8816,30.7574,88.0611,26.5781,409.444,16.7241,101.993,101.951
2,1639111659,92.5999999,20211210 12:47:38,12:47:38,0,plot-sdfgghhh1-1,1,ertyhghj,1639111659,0.003584029,3.584029495,17.30680346,400.038,281.4494937,28.93494095,41.12665386,0.25938129,3.271555396,0.248474115,0.156238068,317.3999857,25.83357774,25.8956,3.353469461,60.07604685,1.908516978,3.176835159,1.444952483,-158.0557007,-160.6080717,-10.43032189,-11.69410856,17.39168084,3.588930183,17.30680346,416.3955396,407.5878364,0.002016039,91.0971969,3.584029495,16.80745634,18.56504788,-1.3937E-05,100.31,0,0,1,0,54688.03634,2000,1686.000462,0.843000231,0.158699993,3,0.5,0: Broadleaf,2,TRUE,1639111659,400.038,409.445,18.5641,16.8042,399.493,18.3468,600.427,102.607,0.199868,24.985,25.8956,999.9,0,0,10012.5,839.793,0.916915,2000,0.900001,0.0999993,26,43393.6,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2173,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1,1.1,19,621.147,419.214,26.8026,21.6963,29.9998,21.6224,21.5978,20.8785,30.3042,87.3176,26.8062,409.204,16.7568,101.999,101.958
3,1639111663,96.5999999,20211210 12:47:42,12:47:42,0,plot-sdfgghhh1-1,1,ertyhghj,1639111663,0.003585301,3.585300507,17.24292167,400.062,281.7298323,28.96349319,41.12873997,0.259052237,3.270349061,0.248168263,0.15604494,317.2809298,25.83433817,25.9065,3.355634714,60.06788665,1.908417042,3.177100358,1.447217672,-158.1117523,-162.223805,-10.53979019,-13.59441775,17.03554127,3.585431509,17.24292167,416.3700965,407.6089818,-0.000324693,91.0971969,3.585300507,16.80418865,18.56262848,-2.93336E-05,100.31,0,0,1,0,54654.25021,1999.25,1685.367576,0.842999913,0.158699977,3,0.5,0: Broadleaf,2,TRUE,1639111663,400.062,409.291,18.5633,16.805,399.518,18.3461,600.388,102.606,0.199915,24.9864,25.9065,999.9,0,0,10006.2,839.63,0.888534,1999.25,0.9,0.0999999,26,43377.4,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2172,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.1,1.1,19,621.199,419.323,26.8108,21.6934,29.9998,21.6206,21.5958,20.8785,30.3042,87.3176,26.8167,409.138,16.7568,102.001,101.958
4,1639111667,100.5999999,20211210 12:47:46,12:47:46,0,plot-sdfgghhh1-1,1,ertyhghj,1639111667,0.003580424,3.580423986,17.17332912,399.963,281.7069239,28.96117582,41.11861578,0.258182213,3.271065716,0.247371846,0.155540953,316.677915,25.83589537,25.9183,3.357980127,60.04400438,1.90809055,3.177820283,1.449889577,-157.8966978,-163.6701518,-10.63226461,-15.5211992,17.1269874,3.575177991,17.17332912,416.2663805,407.5448606,-0.000780894,91.0971969,3.580423986,16.80531369,18.56090364,-2.76779E-06,100.31,0,0,1,0,54673.4562,1995.45,1682.16435,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639111667,399.963,409.234,18.5601,16.8071,399.418,18.3431,600.483,102.606,0.200049,24.9902,25.9183,999.9,0,0,10010,837.882,0.873252,1995.45,0.9,0.1,26,43294.8,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.217,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.2,1.2,19,621.153,419.28,26.8196,21.6912,29.9999,21.6183,21.594,20.8828,30.3042,87.3176,26.826,409.265,16.7568,102.001,101.959
5,1639111670,104.0999999,20211210 12:47:50,12:47:50,0,plot-sdfgghhh1-1,1,ertyhghj,1639111670,0.003573829,3.573828678,17.08609396,399.97,282.257364,29.01803959,41.11972539,0.258142356,3.264943278,0.247315899,0.155507314,316.1160127,25.83693802,25.9065,3.355634714,60.03937641,1.908057243,3.178009761,1.447577472,-157.6058447,-161.11076,-10.48505865,-13.0856507,17.18456908,3.571550179,17.08609396,416.2340133,407.5488485,0.000346607,91.0971969,3.573828678,16.80708122,18.55972727,-1.86475E-05,100.31,0,0,1,0,54503.51058,1991.91,1679.180244,0.843000057,0.158699948,3,0.5,0: Broadleaf,2,TRUE,1639111670,399.97,409.27,18.5596,16.8082,399.426,18.3426,600.422,102.607,0.200024,24.9912,25.9065,999.9,0,0,9977.5,836.204,0.873252,1991.91,0.900001,0.0999991,26,43218.1,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.217,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.2,1.2,19,621.263,419.237,26.8272,21.6886,29.9998,21.6166,21.592,20.8847,30.3042,87.3176,26.8325,409.276,16.7568,101.999,101.96
6,1639111675,108.5999999,20211210 12:47:54,12:47:54,0,plot-sdfgghhh1-1,1,ertyhghj,1639111675,0.003568967,3.568967005,17.31824746,399.963,280.7441206,28.86277973,41.1194505,0.258042857,3.267090322,0.247231346,0.155453215,315.221049,25.83368662,25.8987,3.354085143,60.03292235,1.907954511,3.178180299,1.446130631,-157.3914449,-159.6843295,-10.38503671,-12.23976215,17.48558055,3.564800239,17.31824746,416.3327092,407.5336061,-0.000145906,91.0971969,3.568967005,16.80881898,18.55889091,-1.87627E-05,100.31,0,0,1,0,54562.8441,1986.27,1674.42561,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639111675,399.963,409.411,18.5584,16.8105,399.418,18.3415,600.488,102.608,0.200136,24.9921,25.8987,999.9,0,0,9988.75,833.796,0.873252,1986.27,0.9,0.1,26,43095.6,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2169,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.3,1.3,19,621.288,419.191,26.8322,21.6857,29.9998,21.6142,21.5899,20.8827,30.3042,87.3176,26.8325,409.3,16.7568,102.001,101.961
7,1639111679,112.5999999,20211210 12:47:58,12:47:58,0,plot-sdfgghhh1-1,1,ertyhghj,1639111679,0.003563608,3.563608387,17.36254731,400.013,280.5213933,28.83955811,41.12412969,0.258029191,3.270612668,0.247229918,0.155451306,314.5432207,25.83178277,25.8879,3.351940614,60.02889002,1.907974236,3.178426646,1.443966378,-157.1551299,-157.7229542,-10.24594224,-10.58080559,17.28370952,3.575360831,17.36254731,416.3931199,407.5682485,0.000281593,91.0971969,3.563608387,16.8112534,18.55866,4.44871E-06,100.31,0,0,1,0,54660.30815,1982,1670.82531,0.842999652,0.15869991,3,0.5,0: Broadleaf,2,TRUE,1639111679,400.013,409.363,18.5588,16.8056,399.468,18.3418,600.446,102.607,0.199983,24.9934,25.8879,999.9,0,0,10007.5,831.711,0.855787,1982,0.9,0.0999996,26,43003.1,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.217,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.4,1.4,19,621.444,419.145,26.8375,21.683,29.9999,21.6119,21.5877,20.8818,30.5782,87.3176,26.8387,409.299,16.7568,102,101.96
8,1639111682,116.0999999,20211210 12:48:02,12:48:02,0,plot-sdfgghhh1-1,1,ertyhghj,1639111682,0.003567832,3.567831823,17.28091998,400.011,280.8154653,28.86952596,41.12354687,0.257552284,3.267526115,0.246782291,0.155169044,313.9688165,25.82677193,25.9065,3.355634714,60.01598559,1.907370741,3.178104503,1.448263974,-157.3413834,-161.1501324,-10.47935729,-15.00205654,17.22052333,3.615041389,17.28091998,416.366342,407.5850606,3.49423E-05,91.0971969,3.567831823,16.80444602,18.55400485,-1.57898E-05,100.31,0,0,1,0,54574.95472,1978.38,1667.773996,0.842999826,0.158699955,3,0.5,0: Broadleaf,2,TRUE,1639111682,400.011,409.337,18.5531,16.7805,399.466,18.3365,600.469,102.606,0.20004,24.9917,25.9065,999.9,0,0,9991.25,829.999,0.82959,1978.38,0.9,0.0999998,26,42924.4,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2166,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.4,1.4,19,621.327,419.101,26.8417,21.6804,29.9998,21.6098,21.5856,20.8827,30.5782,87.3176,26.8435,409.309,16.7568,102.001,101.961
9,1639111687,120.5999999,20211210 12:48:06,12:48:06,0,plot-sdfgghhh1-1,1,ertyhghj,1639111687,0.003595674,3.595674084,17.22275989,399.984,282.2029729,29.01216504,41.1207639,0.260080768,3.269179014,0.249108415,0.156640007,313.1167175,25.81539121,25.8892,3.352198688,59.97971094,1.90622926,3.178123452,1.445969428,-158.5692271,-158.1649363,-10.27914459,-13.89659047,17.33253801,3.597875932,17.22275989,416.2770508,407.5265152,-0.000227554,91.0971969,3.595674084,16.77927942,18.54290242,-5.84715E-05,100.31,0,0,1,0,54620.78201,1973.01,1663.248057,0.843000318,0.158700015,3,0.5,0: Broadleaf,2,TRUE,1639111687,399.984,409.363,18.542,16.7777,399.44,18.326,600.436,102.606,0.200022,24.9918,25.8892,999.9,0,0,10000,827.666,0.82959,1973.01,0.900001,0.0999994,26,42808,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.216,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.5,1.5,19,621.167,419.181,26.8459,21.6775,29.9998,21.6073,21.5833,20.8809,30.5782,86.9475,26.8492,409.378,16.7568,102.001,101.963
10,1639111691,124.5999999,20211210 12:48:10,12:48:10,0,plot-sdfgghhh1-1,1,ertyhghj,1639111691,0.003583644,3.583643585,17.21920755,400.024,281.6640155,28.95679021,41.12492335,0.258641456,3.267526115,0.247782244,0.155801567,312.4405359,25.81600552,25.8989,3.354124867,59.9464453,1.905285631,3.178312946,1.448839236,-158.0386821,-159.6175502,-10.37935617,-15.59505256,17.23929265,3.5969364,17.21920755,416.3429849,407.5896424,0.000563251,91.0971969,3.583643585,16.77679103,18.53446485,-5.71338E-05,100.31,0,0,1,0,54574.75326,1968.75,1659.655907,0.842999826,0.158699955,3,0.5,0: Broadleaf,2,TRUE,1639111691,400.024,409.356,18.5328,16.769,399.479,18.3174,600.455,102.606,0.20014,24.9928,25.8989,999.9,0,0,9991.25,825.603,0.82959,1968.75,0.9,0.0999998,26,42715.6,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2154,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,1.6,1.6,19,621.344,419.053,26.8502,21.6751,29.9999,21.6051,21.5813,20.8806,30.5782,86.9475,26.8549,409.365,16.7568,102.002,101.963
