SECS,FLUOR,NORM_FLUOR,SOURCE
6.08E-06,98161,0,INDUCTION-4188-20201116-10_53_39
1.01E-05,100331,0.007134708,INDUCTION-4188-20201116-10_53_39
1.42E-05,102577,0.014519295,INDUCTION-4188-20201116-10_53_39
1.80E-05,104849,0.021989367,INDUCTION-4188-20201116-10_53_39
2.21E-05,107214,0.029765212,INDUCTION-4188-20201116-10_53_39
2.61E-05,109624,0.037689012,INDUCTION-4188-20201116-10_53_39
3.02E-05,112203,0.046168465,INDUCTION-4188-20201116-10_53_39
3.42E-05,114737,0.054499962,INDUCTION-4188-20201116-10_53_39
3.80E-05,117347,0.063081339,INDUCTION-4188-20201116-10_53_39
4.21E-05,120044,0.071948762,INDUCTION-4188-20201116-10_53_39
4.61E-05,122878,0.081266624,INDUCTION-4188-20201116-10_53_39
5.02E-05,125643,0.090357623,INDUCTION-4188-20201116-10_53_39
5.40E-05,128554,0.099928653,INDUCTION-4188-20201116-10_53_39
5.81E-05,131446,0.109437213,INDUCTION-4188-20201116-10_53_39
6.21E-05,134409,0.119179213,INDUCTION-4188-20201116-10_53_39
6.62E-05,137428,0.129105334,INDUCTION-4188-20201116-10_53_39
7.02E-05,140459,0.13907091,INDUCTION-4188-20201116-10_53_39
7.40E-05,143522,0.149141698,INDUCTION-4188-20201116-10_53_39
7.81E-05,146577,0.159186183,INDUCTION-4188-20201116-10_53_39
8.21E-05,149590,0.169092577,INDUCTION-4188-20201116-10_53_39
8.62E-05,152691,0.179288305,INDUCTION-4188-20201116-10_53_39
9.00E-05,155786,0.189464305,INDUCTION-4188-20201116-10_53_39
9.41E-05,158841,0.19950879,INDUCTION-4188-20201116-10_53_39
9.81E-05,161862,0.209441487,INDUCTION-4188-20201116-10_53_39
0.000102162,164794,0.219081563,INDUCTION-4188-20201116-10_53_39
0.000106215,167820,0.229030699,INDUCTION-4188-20201116-10_53_39
0.00011003,170754,0.23867735,INDUCTION-4188-20201116-10_53_39
0.000114083,173591,0.248005076,INDUCTION-4188-20201116-10_53_39
0.000118136,176418,0.257299924,INDUCTION-4188-20201116-10_53_39
0.000122189,179224,0.266525726,INDUCTION-4188-20201116-10_53_39
0.000126004,181894,0.275304376,INDUCTION-4188-20201116-10_53_39
0.000130057,184580,0.284135632,INDUCTION-4188-20201116-10_53_39
0.00013411,187216,0.292802494,INDUCTION-4188-20201116-10_53_39
0.000138163,189756,0.301153718,INDUCTION-4188-20201116-10_53_39
0.000142216,192265,0.309403019,INDUCTION-4188-20201116-10_53_39
