obs,time,elapsed,date,plot,plant,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1513612721,0,20171218 09:58:40,1,1,1513612721,0.006743924,32.4442919,370.065,260.3983999,26.43561032,37.56894873,0.563038264,2.282712734,0.49577378,0.315229893,321.4358527,25.43035512,23.8649,2.970754975,50.2223087,1.621028592,3.22770624,1.349726384,-297.4070569,170.6673864,15.74450637,210.4406886,-0.042070287,0.047227583,3.513877581,335,48,1,0,53961.72314,-,0,0,0,#DIV/0!,0,RECT-1217-20171205-12_32_59,881.6115,1196.43,0.263131566,0.5,1681.149594,32.4442919,221.181763,0.49549911,0.019298873,-1,DARK-1218-20171205-12_33_01,603.6,592.83,0.531043469,1.982157058,0.263131566,#DIV/0!,1999.94,1681.149594,0.840600015,0.19120003,6,0.5,0: Broadleaf,1513612721,370.065,400.013,15.9676,10.2795,700.013,101.499,0.0208647,25.2517,23.8649,999.9,9995.62,0,83.8536,1999.94,0.979992,0.0200084,0,882.191,1.00007,17760.7,16280.2,38.875,39.187,39.25,38.812,40.625,1958.95,40,0,729.1000001,881.6115,-1.089538441,73.0564102,17765.80385,15,100,100,-3.88,-0.048,2,355.548,708.891,24.9999,20.92,29.9994,20.8979,20.8191,25.4357,48.1688,0,25,400,10.2085,103.84,101.042
2,1513612832,111,20171218 10:00:31,1,1,1513612832,0.006595533,31.75597132,370.678,263.8885446,26.78666402,37.62659367,0.566427006,2.285210239,0.498467385,0.316965973,289.4806948,25.04033092,23.5525,2.915405545,50.23650632,1.602184084,3.189282459,1.313221461,-290.8630135,184.5663011,16.96413548,200.1481179,-0.042138461,0.047304114,3.518370141,337,48,1,0,54081.76172,-,0,0,0,#DIV/0!,0,RECT-1219-20171205-12_34_50,890.0578846,1249.21,0.287503394,0.5,1513.0779,31.75597132,217.5075162,0.501605014,0.020987664,-1,DARK-1220-20171205-12_34_52,622.6,626.61,0.573166907,2.006440732,0.287503394,#DIV/0!,1799.87,1513.0779,0.840659548,0.191319095,6,0.5,0: Broadleaf,1513612832,370.678,399.992,15.7839,10.22,700.023,101.486,0.0214908,25.0506,23.5525,999.9,10013.1,0,187.759,1799.87,0.978004,0.0219964,0,890.102,1.00007,16250.6,14643.2,38.437,38.937,38.937,38.625,40.312,1759.3,39.57,0,110.7,890.0578846,1.157093988,-381.0256399,16211.73846,15,100,100,-3.788,-0.051,2,353.997,709.172,25.0003,20.7393,29.9995,20.7025,20.6249,25.427,47.8532,0,25,400,10.2336,103.857,101.058
3,1513612941,220,20171218 10:02:20,1,1,1513612941,0.006449253,30.89549538,371.454,266.5415645,27.0563298,37.7058713,0.56074845,2.283992175,0.494028034,0.314098064,241.6739283,24.75875538,23.4143,2.891209136,49.94549593,1.595353814,3.194189555,1.295855322,-284.4120753,204.6619956,18.8105894,180.734438,-0.042105203,0.047266779,3.516178807,335,48,1,0,54036.19723,-,0,0,0,#DIV/0!,0,RECT-1221-20171205-12_36_39,916.0869615,1381.18,0.336736007,0.5,1261.2225,30.89549538,212.3495144,0.545316324,0.024496467,-1,DARK-1222-20171205-12_36_41,628,753.18,0.617505827,2.19933121,0.336736007,#DIV/0!,1500.01,1261.2225,0.840809395,0.191618789,6,0.5,0: Broadleaf,1513612941,371.454,399.99,15.7164,10.2752,699.981,101.488,0.0208579,25.0764,23.4143,999.9,10005,0,268.855,1500.01,0.973004,0.0269964,0,916.94,1.00007,14141.5,12186.1,38,38.875,38.687,38.687,40.062,1458.54,40.47,0,108.4000001,916.0869615,3.904512801,-906.3863312,13953.1,15,100,100,-3.783,-0.048,2,356.109,707.927,25.002,20.7422,30.0006,20.6419,20.5667,25.4223,48.9497,0,25,400,10.1878,103.857,101.069
4,1513613061,340.5,20171218 10:04:21,1,1,1513613061,0.006297617,29.4284564,372.793,272.1730996,27.62957973,37.84398212,0.557935,2.281962528,0.491788989,0.312655161,193.7464513,24.36108686,23.2404,2.861011965,50.03352097,1.589558306,3.176986699,1.271453659,-277.7249052,214.7281209,19.72698761,150.4766546,-0.042049823,0.04720461,3.512528498,334,48,1,0,53984.56352,-,0,0,0,#DIV/0!,0,RECT-1223-20171205-12_38_40,968.9856923,1614.17,0.399700346,0.5,1009.212,29.4284564,201.6911928,0.591368939,0.029159836,-1,DARK-1224-20171205-12_38_42,659.6,954.57,0.67588999,2.44719527,0.399700346,#DIV/0!,1200.03,1009.212,0.840988975,0.19197795,6,0.5,0: Broadleaf,1513613061,372.793,400.028,15.6584,10.3453,700.044,101.494,0.0207337,24.9858,23.2404,999.9,9991.25,0,264.465,1200.03,0.967004,0.0329961,0,969.77,1.00007,11633.1,9732,37.375,38.687,38.312,38.5,39.562,1159.47,39.56,0,120.2,968.9856923,9.156376099,-577.4119674,11694.51923,15,100,100,-3.704,-0.046,2,356.778,707.211,25.001,20.8675,30.0005,20.7166,20.6287,25.42,48.1754,0,25,400,10.279,103.825,101.038
5,1513613175,454,20171218 10:06:14,1,1,1513613175,0.006081531,27.09829087,374.804,280.2759205,28.45422256,38.0509193,0.548139922,2.283526463,0.484192374,0.307741735,145.857181,24.02365862,23.1078,2.838172142,50.23158515,1.590852567,3.167036362,1.247319575,-268.1955011,224.7240423,20.61190218,122.9976244,-0.042092492,0.047252509,3.515341106,334,48,1,0,54046.82173,-,0,0,0,#DIV/0!,0,RECT-1225-20171205-12_40_33,1042.646538,2002.99,0.479454946,0.5,757.1643652,27.09829087,181.5130998,0.647526947,0.035789179,-1,DARK-1226-20171205-12_40_35,706,1296.99,0.740440143,2.837096317,0.479454946,#DIV/0!,899.974,757.1643652,0.841318044,0.192636088,6,0.5,0: Broadleaf,1513613175,374.804,399.989,15.67,10.5381,699.885,101.502,0.0201804,24.9332,23.1078,999.9,10000.6,0,195.789,899.974,0.956011,0.0439889,0,1043.88,1.00007,9370.21,7275.31,36.75,38.5,37.937,38.312,39.125,859.43,39.54,0,113.2,1042.646538,9.497777801,108.5538463,9363.52,15,100,100,-3.707,-0.045,2,356.443,707.826,25.0001,20.9945,30.0005,20.8157,20.7185,25.4198,46.8527,0,25,400,10.4731,103.792,101.005
6,1513613272,551,20171218 10:07:51,1,1,1513613272,0.00577788,22.46613328,378.882,298.5009014,30.30482277,38.46538422,0.540459894,2.28209924,0.478148998,0.303840731,97.98611152,23.49617553,22.7014,2.769161838,50.33377445,1.568576951,3.116350737,1.200584887,-254.8044975,241.3406191,22.0742686,106.5965017,-0.042053552,0.047208796,3.51277433,334,48,1,0,54047.89925,-,0,0,0,#DIV/0!,0,RECT-1227-20171205-12_42_10,1088.72,2514.11,0.5669561,0.5,505.0406898,22.46613328,143.1679499,0.695876473,0.044483808,-1,DARK-1228-20171205-12_42_12,764.6,1749.51,0.814736698,3.288137588,0.5669561,#DIV/0!,599.805,505.0406898,0.842008136,0.194016271,6,0.5,0: Broadleaf,1513613272,378.882,400.014,15.4504,10.5747,700.036,101.503,0.0203878,24.663,22.7014,999.9,9991.25,0,70.969,599.805,0.932956,0.0670438,0,1086.9,1.00007,6500.73,4816.39,36,38.25,37.437,38,38.562,558.66,40.15,0,96.4000001,1088.72,-18.33709401,-118.6300854,6518.991923,15,100,100,-3.689,-0.045,2,357.468,708.068,24.9985,21.0855,30.0004,20.8975,20.798,25.4131,46.6984,0,25,400,10.5605,103.773,100.993
7,1513613392,671.5,20171218 10:09:52,1,1,1513613392,0.005450913,12.83590715,387.15,336.2789216,34.14367375,39.30880719,0.515543314,2.274620342,0.458356677,0.291080547,49.59552512,23.13200594,22.4329,2.724377722,49.80752371,1.542277979,3.096475921,1.182099743,-240.385278,260.3543345,23.84637524,93.4109569,-0.041849874,0.04698015,3.499334914,332,47,1,0,53816.15044,-,0,0,0,#DIV/0!,0,RECT-1229-20171205-12_44_11,1012.85,2862.95,0.646221555,0.5,253.0639437,12.83590715,81.76768757,0.726436019,0.050721991,-1,DARK-1230-20171205-12_44_13,783.2,2079.75,0.889578074,3.655451992,0.646221555,#DIV/0!,300.198,253.0639437,0.842990106,0.195980211,6,0.5,0: Broadleaf,1513613392,387.15,399.964,15.1898,10.5875,699.839,101.513,0.020791,24.556,22.4329,999.9,9941.88,0,48.1432,300.198,0.899986,0.100014,0,1007.78,1.00007,2996.41,2385.34,35.062,37.937,36.75,37.75,37.875,269.27,29.92,0,120.3000002,1012.85,-38.46495725,-2293.867691,3197.728077,15,100,100,-3.684,-0.046,2,358.632,709.636,25.0014,21.1646,30.0002,20.9621,20.8665,25.4098,46.3881,0,25,400,10.6228,103.763,100.99
8,1513613480,759,20171218 10:11:19,1,1,1513613480,0.005189883,8.181602299,391.28,355.3699989,36.08085653,39.72681315,0.497206171,2.283570675,0.443975745,0.281791006,33.05638027,22.9403282,22.3247,2.706510602,50.35720014,1.544510835,3.067110227,1.161999766,-228.8738359,255.1000897,23.24206573,82.52469981,-0.042093698,0.047253864,3.51542063,331,47,1,0,54145.98826,-,0,0,0,#DIV/0!,0,RECT-1231-20171205-12_45_38,956.8898462,2924.6,0.672813429,0.5,168.6782278,8.181602299,56.74448842,0.733023319,0.048504199,-1,DARK-1232-20171205-12_45_40,780.8,2143.8,0.91786088,3.745645492,0.672813429,#DIV/0!,200.096,168.6782278,0.842986506,0.195973011,6,0.5,0: Broadleaf,1513613480,391.28,400.034,15.2123,10.8312,699.952,101.511,0.0193955,24.3968,22.3247,999.9,10000,0,76.3857,200.096,0.899962,0.100038,0,954.703,1.00007,1981.69,1587.27,35.125,38.562,36.937,38.625,38.062,179.18,19.92,0,87.20000005,956.8898462,-19.46194873,207.7388031,1935.504615,15,100,100,-3.7,-0.043,2,360.303,710.085,24.999,21.2243,30.0004,21.0355,20.938,25.4117,45.1034,0,25,400,10.773,103.753,100.982
9,1513613576,855,20171218 10:12:55,1,1,1513613576,0.005009658,5.633633694,393.495,365.3659545,37.0986113,39.95478471,0.47012578,2.289361705,0.422345613,0.267853051,24.78164918,22.99163946,22.3937,2.717892719,50.0181948,1.538740756,3.076362037,1.179151962,-220.9259202,253.4389818,23.04621908,80.34092984,-0.042251937,0.047431501,3.525842446,330,47,1,0,54332.07507,-,0,0,0,#DIV/0!,0,RECT-1233-20171205-12_47_14,920.4568846,2966.8,0.689747578,0.5,126.4607279,5.633633694,43.6129904,0.736416341,0.044548484,-1,DARK-1234-20171205-12_47_16,782,2184.8,0.936627204,3.793861893,0.689747578,#DIV/0!,150.016,126.4607279,0.842981601,0.195963202,6,0.5,0: Broadleaf,1513613576,393.495,400.013,15.1543,10.9257,700.053,101.518,0.0202272,24.4471,22.3937,999.9,10036.9,0,48.6845,150.016,0.899961,0.100039,0,918.556,1.00007,1404.07,1188.02,35.25,38.812,37.125,39.062,38.187,134.11,14.91,0,95.80000019,920.4568846,-12.71948719,-261.7630755,1427.153462,15,100,100,-3.701,-0.04,2,360.65,710.859,25.0007,21.2909,30.0007,21.1094,21.0136,25.4096,44.8036,0,25,400,10.8985,103.736,100.972
10,1513613673,952,20171218 10:14:32,1,1,1513613673,0.004756284,2.950712969,395.883,376.4939357,38.22436995,40.19288709,0.430252985,2.28291627,0.389759221,0.246919345,16.54647202,23.28287269,22.6705,2.763975327,49.6121863,1.551355712,3.126965021,1.212619615,-209.7521307,252.233147,23.06535398,82.09284231,-0.042075841,0.047233817,3.514243628,328,47,1,0,54065.1085,-,0,0,0,#DIV/0!,0,RECT-1235-20171205-12_48_51,889.1271923,3013.3,0.704932402,0.5,84.44322871,2.950712969,29.76338404,0.736966117,0.034943157,-1,DARK-1236-20171205-12_48_53,792.6,2220.7,0.956532989,3.801791572,0.704932402,#DIV/0!,100.173,84.44322871,0.842973942,0.195947884,6,0.5,0: Broadleaf,1513613673,395.883,400.026,15.2802,11.2658,700.021,101.506,0.0211863,24.7199,22.6705,999.9,9996.25,0,296.587,100.173,0.89989,0.10011,0,888.125,1.00007,1306.89,790.631,35.375,39.25,37.312,39.625,38.375,89.24,9.93,0,96.4000001,889.1271923,-9.247692283,65.79316205,1276.126538,15,100,100,-3.726,-0.034,2,363.04,711.453,25.0029,21.4203,30.0007,21.2118,21.1188,25.4063,44.7236,0,25,400,11.2253,103.715,100.956
